State,Operational,Under Construction,Announced,Total Space,Estimated Power Capacity
Virginia,322,148,498,"137,773,849 sqft.",33007
Texas,216,163,732,"28,069,046 sqft.",5179
California,167,7,58,"15,261,482 sqft.",1708
Ohio,102,68,144,"14,343,900 sqft.",4254
Oregon,98,13,34,"19,993,975 sqft.",3850
Arizona,82,38,134,"16,473,149 sqft.",2728
Illinois,78,22,151,"37,784,837 sqft.",11707
Washington,71,3,26,"9,204,870 sqft.",1284
Georgia,64,58,350,"14,588,398 sqft.",2073
Iowa,59,15,38,"13,608,082 sqft.",1824
Florida,54,1,12,"2,967,220 sqft.",193
New York,50,4,73,"2,585,915 sqft.",8976
New Jersey,49,3,7,"6,938,892 sqft.",653
North Carolina,44,13,48,"1,500,000 sqft.",646
Pennsylvania,38,14,199,"38,003,214 sqft.",15391
Tennessee,32,3,4,"4,672,782 sqft.",1340
Michigan,31,2,20,"3,907,013 sqft.",2530
Colorado,31,6,11,0 sqft.,680
Utah,30,8,174,"318,000 sqft.",1178
Indiana,28,28,106,"9,801,531 sqft.",6551
Minnesota,27,4,45,"9,805,800 sqft.",2257
Nevada,27,29,81,"6,363,543 sqft.",1146
Nebraska,26,6,8,"2,013,000 sqft.",672
Missouri,25,14,69,"6,497,084 sqft.",3770
Alabama,15,8,36,"7,566,000 sqft.",2059
New Mexico,13,7,50,0 sqft.,8250
Alaska,0,0,4,0 sqft.,0
Massachusetts,23,0,0,"1,785,975 sqft.",164
Oklahoma,22,12,50,"2,961,879 sqft.",541
South Carolina,18,13,19,0 sqft.,400
Wisconsin,18,14,33,0 sqft.,127
Wyoming,12,12,24,"2,204,300 sqft.",1214
Kentucky,12,2,44,"2,518,740 sqft.",4205
Maryland,12,12,19,0 sqft.,820
Mississippi,10,22,23,"4,230,000 sqft.",1833
Louisiana,10,13,16,"4,905,000 sqft.",2758
Kansas,8,1,17,0 sqft.,0
Connecticut,7,0,33,"4,497,924 sqft.",960
New Hampshire,6,0,0,0 sqft.,0
Delaware,6,0,3,"5,400,000 sqft.",864
District Of Columbia,5,0,0,"64,763 sqft.",5
West Virginia,4,0,39,0 sqft.,8595
Arkansas,4,3,17,"3,255,000 sqft.",1838
Montana,4,0,11,"240,000 sqft.",503
Idaho,4,2,6,"80,000 sqft.",8
Maine,4,0,7,0 sqft.,60
Rhode Island,3,0,0,"32,500 sqft.",2
South Dakota,2,0,6,0 sqft.,502
North Dakota,2,4,8,"342,000 sqft.",100
Hawaii,2,0,0,"73,350 sqft.",6
Vermont,1,0,0,0 sqft.,0
